Images	O
Figure	O
1	O
Figure	O
2	O
Figure	O
3	O
Figure	O
4	O
Results	O
Images	O
FIGURE	O
2	O
.	O
Nf	O
and	O
GA	O
-	O
1	O
DNA	O
polymerases	O
couple	O
polymerization	O
to	O
strand	O
displacement	O
processively	O
The	O
results	O
presented	O
in	O
this	O
paper	O
clearly	O
indicate	O
that	O
Nf	O
and	O
GA	O
-	O
1	O
DNA	O
polymerases	O
can	O
account	O
for	O
their	O
genome	O
replication	O
without	O
the	O
assistance	O
of	O
unwinding	O
and	O
processivity	O
factors	O
,	O
in	O
contrast	O
to	O
most	O
replicative	O
DNA	O
polymerases	O
which	O
require	O
their	O
physical	O
association	O
to	O
processivity	O
factors	O
and	O
DNA	O
unwinding	O
proteins	O
(	O
1	O
,	O
70	O
)	O
.	O
Strand	O
displacement	O
capacity	O
has	O
also	O
been	O
shown	O
for	O
other	O
protein	O
-	O
primed	O
DNA	O
polymerases	O
as	O
those	O
of	O
bacteriophages	O
phi29	O
(	O
10	O
)	O
,	O
Cp	O
-	O
1	O
(	O
71	O
)	O
and	O
PRD1	O
(	O
72	O
,	O
73	O
)	O
.	O
On	O
the	O
contrary	O
,	O
adenovirus	O
DNA	O
polymerase	O
,	O
although	O
processive	O
,	O
cannot	O
couple	O
polymerization	O
to	O
strand	O
displacement	O
,	O
requiring	O
the	O
DNA	O
unwinding	O
activity	O
of	O
the	O
adenovirus	O
DBP	O
to	O
perform	O
strand	O
displacement	O
(	O
74	O
,	O
75	O
)	O
.	O
Whereas	O
it	O
was	O
possible	O
to	O
obtain	O
GA	O
-	O
1	O
DNA	O
replication	O
by	O
using	O
exclusively	O
the	O
GA	O
-	O
1	O
TP	O
and	O
DNA	O
polymerase	O
,	O
Nf	O
DNA	O
polymerase	O
,	O
although	O
provided	O
with	O
competent	O
strand	O
displacement	O
and	O
processivity	O
features	O
,	O
required	O
the	O
presence	O
of	O
Nf	O
DBP	O
for	O
an	O
effective	O
in	O
vitro	O
replication	O
of	O
Nf	O
TP	O
-	O
DNA	O
.	O
Results	O
presented	O
here	O
show	O
that	O
Nf	O
DBP	O
strongly	O
stimulates	O
the	O
formation	O
of	O
the	O
TP	O
-	O
dAMP	O
initiation	O
complex	O
by	O
decreasing	O
the	O
Km	O
for	O
dATP	O
and	O
facilitates	O
the	O
transition	O
from	O
initiation	O
to	O
elongation	O
,	O
as	O
it	O
occurs	O
in	O
phi29	O
(	O
76	O
)	O
.	O
These	O
results	O
point	O
to	O
either	O
a	O
specific	O
and	O
direct	O
contact	O
between	O
DBP	O
and	O
DNA	O
polymerase	O
that	O
promotes	O
conformational	O
changes	O
at	O
the	O
polymerization	O
active	O
site	O
or	O
to	O
an	O
effect	O
of	O
DBP	O
in	O
conferring	O
the	O
optimal	O
template	O
structure	O
to	O
direct	O
initiating	O
nucleotide	O
insertion	O
.	O
A	O
similar	O
role	O
has	O
been	O
proposed	O
for	O
adenovirus	O
DBP	O
,	O
a	O
DNA	O
unwinding	O
protein	O
(	O
77	O
)	O
.	O
As	O
in	O
the	O
case	O
of	O
phi29	O
and	O
Nf	O
DBP	O
,	O
this	O
protein	O
stimulates	O
the	O
rate	O
of	O
initiation	O
also	O
by	O
decreasing	O
the	O
Km	O
for	O
the	O
initiating	O
nucleotide	O
(	O
74	O
)	O
.	O
The	O
fact	O
that	O
an	O
adenovirus	O
DBP	O
mutant	O
defective	O
in	O
unwinding	O
can	O
still	O
stimulate	O
initiation	O
precludes	O
the	O
unwinding	O
role	O
as	O
the	O
one	O
responsible	O
for	O
such	O
an	O
activation	O
(	O
77	O
,	O
78	O
)	O
.	O
In	O
this	O
case	O
,	O
contacts	O
between	O
DBP	O
and	O
pTP	O
/	O
DNA	O
polymerase	O
complex	O
have	O
been	O
reported	O
(	O
77	O
)	O
.	O
The	O
effect	O
of	O
Nf	O
DBP	O
in	O
promoting	O
elongation	O
of	O
the	O
initiation	O
products	O
could	O
be	O
due	O
to	O
a	O
decrease	O
of	O
the	O
Km	O
also	O
for	O
the	O
incorporation	O
of	O
the	O
dNMPs	O
during	O
the	O
transition	O
stage	O
from	O
initiation	O
to	O
elongation	O
,	O
to	O
a	O
different	O
type	O
of	O
contact	O
with	O
the	O
DNA	O
polymerase	O
that	O
helps	O
transition	O
to	O
elongation	O
,	O
or	O
both	O
.	O
The	O
similarity	O
in	O
replication	O
rates	O
when	O
comparing	O
M13	O
DNA	O
replication	O
,	O
performed	O
in	O
the	O
absence	O
of	O
DBP	O
(	O
2400	O
nt	O
/	O
min	O
)	O
,	O
with	O
Nf	O
TP	O
-	O
DNA	O
replication	O
in	O
the	O
presence	O
of	O
DBP	O
(	O
2260	O
nt	O
/	O
min	O
)	O
,	O
suggests	O
that	O
the	O
DBP	O
stimulatory	O
role	O
is	O
restricted	O
to	O
the	O
first	O
phases	O
of	O
Nf	O
TP	O
-	O
DNA	O
replication	O
.	O
2	O
-	O
Theory	O
Scanning	O
holography	O
is	O
a	O
two	O
-	O
pupil	O
interaction	O
method	O
[	O
8	O
]	O
by	O
which	O
incoherent	O
imaging	O
with	O
complex	O
point	O
-	O
spread	O
-	O
functions	O
(	O
PSF	O
)	O
is	O
possible	O
.	O
The	O
method	O
has	O
recently	O
been	O
applied	O
to	O
the	O
recording	O
of	O
high	O
resolution	O
holographic	O
images	O
of	O
incoherent	O
objects	O
and	O
fluorescent	O
biological	O
specimens	B-Anatomy
[	O
6	O
,	O
7	O
]	O
.	O
A	O
single	O
-	O
sideband	O
in	O
-	O
line	O
Fresnel	O
hologram	O
is	O
obtained	O
by	O
a	O
2D	O
raster	O
scan	O
of	O
the	O
object	O
with	O
the	O
superposed	O
3D	O
diffraction	O
distributions	O
of	O
two	O
pupils	O
,	O
as	O
sketched	O
in	O
fig	O
.	O
1	O
.	O
The	O
two	O
pupil	O
distributions	O
P	O
~	O
1	O
(	O
rho	O
-	O
-	O
>	O
)	O
MathType	O
@	O
MTEF	O
@	O
5	O
@	O
5	O
@	O
+	O
=	O
feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY	O
=	O
wiFfYdH8Gipec8Eeeu0xXdbba9frFj0	O
=	O
OqFfea0dXdd9vqai	O
=	O
hGuQ8kuc9pgc9s8qqaq	O
=	O
dirpe0xb9q8qiLsFr0	O
=	O
vr0	O
=	O
vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacuWGqbaugaacamaaBaaaleaacqaIXaqmaeqaaOGaeiikaGccciGaf8xWdiNbaSaacqGGPaqkaaa	O
@	O
3295	O
@	O
and	O
P	O
~	O
2	O
(	O
rho	O
-	O
-	O
>	O
)	O
MathType	O
@	O
MTEF	O
@	O
5	O
@	O
5	O
@	O
+	O
=	O
feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY	O
=	O
wiFfYdH8Gipec8Eeeu0xXdbba9frFj0	O
=	O
OqFfea0dXdd9vqai	O
=	O
hGuQ8kuc9pgc9s8qqaq	O
=	O
dirpe0xb9q8qiLsFr0	O
=	O
vr0	O
=	O
vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacuWGqbaugaacamaaBaaaleaacqaIYaGmaeqaaOGaeiikaGccciGaf8xWdiNbaSaacqGGPaqkaaa	O
@	O
3297	O
@	O
from	O
the	O
same	O
source	O
(	O
for	O
example	O
,	O
but	O
not	O
necessarily	O
,	O
a	O
laser	O
)	O
are	O
combined	O
by	O
a	O
beam	O
splitter	O
in	O
the	O
pupil	O
plane	O
of	O
the	O
objective	O
where	O
they	O
interfere	O
,	O
forming	O
a	O
Fresnel	O
pattern	O
with	O
a	O
depth	O
-	O
dependent	O
Fresnel	O
number	O
.	O
To	O
obtain	O
the	O
conventional	O
point	O
-	O
spread	O
function	O
of	O
wide	O
field	O
imaging	O
,	O
P1	O
is	O
chosen	O
as	O
a	O
point	O
source	O
,	O
and	O
P2	O
as	O
a	O
spherical	O
wave	O
with	O
appropriate	O
curvature	O
.	O
The	O
3D	O
specimen	B-Anatomy
is	O
placed	O
in	O
the	O
focal	O
region	O
of	O
the	O
objective	O
,	O
and	O
scattered	O
lights	O
(	O
transmitted	O
,	O
reflected	O
,	O
and	O
fluorescent	O
)	O
are	O
collected	O
by	O
non	O
-	O
imaging	O
detectors	O
.	O
The	O
hologram	O
data	O
can	O
be	O
obtained	O
by	O
heterodyne	O
detection	O
with	O
one	O
of	O
the	O
pupils	O
shifted	O
in	O
frequency	O
(	O
as	O
done	O
in	O
this	O
work	O
)	O
,	O
or	O
by	O
a	O
homodyne	O
method	O
requiring	O
the	O
capture	O
of	O
at	O
least	O
three	O
frames	O
with	O
different	O
relative	O
phases	O
between	O
the	O
two	O
pupils	O
[	O
9	O
]	O
.	O
The	O
amplitude	O
distribution	O
of	O
the	O
illuminating	O
beam	O
,	O
in	O
a	O
transverse	O
plane	O
at	O
an	O
axial	O
distance	O
z	O
from	O
the	O
focal	O
plane	O
of	O
the	O
objective	O
,	O
is	O
the	O
Fourier	O
transform	O
of	O
the	O
combined	O
pupil	O
distributions	O
[	O
10	O
]	O
.	O
Namely	O
:	O
Figure	O
1	O
Experimental	O
set	O
up	O
of	O
a	O
scanning	O
holographic	O
microscope	O
.	O
Sketch	O
of	O
the	O
experimental	O
setup	O
.	O
M	O
'	O
s	O
are	O
mirrors	O
,	O
BS	O
'	O
s	O
are	O
beam	O
splitters	O
,	O
EO	O
is	O
an	O
electro	O
-	O
optic	O
phase	O
modulator	O
.	O
Lens	O
L1	O
(	O
achromat	O
doublet	O
16	O
cm	O
focal	O
length	O
)	O
produces	O
the	O
desired	O
Fresnel	O
pattern	O
in	O
the	O
focal	O
plane	O
of	O
L2	O
(	O
achromat	O
doublet	O
16	O
cm	O
focal	O
length	O
)	O
.	O
L2	O
and	O
the	O
objective	O
form	O
a	O
4	O
-	O
f	O
system	O
projecting	O
a	O
reduced	O
image	O
of	O
the	O
Fresnel	O
pattern	O
onto	O
the	O
specimen	B-Anatomy
.	O
L3	O
(	O
achromat	O
doublet	O
12	O
cm	O
focal	O
length	O
)	O
projects	O
the	O
images	O
of	O
the	O
pupils	O
on	O
the	O
pinhole	O
detector	O
.	O
(	O
Not	O
shown	O
are	O
the	O
beam	O
expanders	O
used	O
to	O
illuminate	O
the	O
pupils	O
)	O
.	O
S	O
(	O
r	O
-	O
-	O
>	O
,	O
