,uri,label
0,http://human.owl#NCI_C12219,Anatomic_Structure_System_or_Substance
1,http://human.owl#NCI_C12220,Lip
2,http://human.owl#NCI_C12221,External_Upper_Lip
3,http://human.owl#NCI_C12222,External_Lower_Lip
4,http://human.owl#NCI_C12223,External_Lip
5,http://human.owl#NCI_C12224,Mucosa_of_the_Upper_Lip
6,http://human.owl#NCI_C12225,Mucosa_of_the_Lower_Lip
7,http://human.owl#NCI_C12226,Mucosa_of_the_Lip
8,http://human.owl#NCI_C12227,Commissure_of_the_Lip
9,http://human.owl#NCI_C12228,Base_of_the_Tongue
10,http://human.owl#NCI_C12229,Palate
11,http://human.owl#NCI_C12230,Hard_Palate
12,http://human.owl#NCI_C12231,Soft_Palate
13,http://human.owl#NCI_C12232,Uvula
14,http://human.owl#NCI_C12233,Submandibular_Gland
15,http://human.owl#NCI_C12234,Sublingual_Salivary_Gland
16,http://human.owl#NCI_C12235,Tonsillar_Fossa
17,http://human.owl#NCI_C12236,Tonsillar_Pillar
18,http://human.owl#NCI_C12237,Vallecula
19,http://human.owl#NCI_C12238,Anterior_Surface_of_the_Epiglottis
20,http://human.owl#NCI_C12239,Lateral_Wall_of_the_Oropharynx
21,http://human.owl#NCI_C12240,Posterior_Wall_of_the_Oropharynx
22,http://human.owl#NCI_C12242,Superior_Wall_of_the_Nasopharynx
23,http://human.owl#NCI_C12243,Posterior_Wall_of_the_Nasopharynx
24,http://human.owl#NCI_C12244,Lateral_Wall_of_the_Nasopharynx
25,http://human.owl#NCI_C12245,Anterior_Wall_of_the_Nasopharynx
26,http://human.owl#NCI_C12246,Hypopharynx
27,http://human.owl#NCI_C12249,Posterior_Wall_of_the_Hypopharynx
28,http://human.owl#NCI_C12250,Cervical_Esophagus
29,http://human.owl#NCI_C12251,Thoracic_Esophagus
30,http://human.owl#NCI_C12252,Abdominal_Esophagus
31,http://human.owl#NCI_C12253,Upper_Third_of_the_Esophagus
32,http://human.owl#NCI_C12254,Middle_Third_of_the_Esophagus
33,http://human.owl#NCI_C12255,Lower_Third_of_the_Esophagus
34,http://human.owl#NCI_C12256,Cardia
35,http://human.owl#NCI_C12257,Fundus_of_the_Stomach
36,http://human.owl#NCI_C12258,Body_of_Stomach
37,http://human.owl#NCI_C12259,Antrum_Pylori
38,http://human.owl#NCI_C12260,Pylorus
39,http://human.owl#NCI_C12261,Lesser_Curvature
40,http://human.owl#NCI_C12262,Greater_Curvature
41,http://human.owl#NCI_C12263,Duodenum
42,http://human.owl#NCI_C12265,Ascending_Colon
43,http://human.owl#NCI_C12266,Hepatic_Flexure
44,http://human.owl#NCI_C12267,Splenic_Flexure
45,http://human.owl#NCI_C12268,Descending_Colon
46,http://human.owl#NCI_C12269,Head_of_the_Pancreas
47,http://human.owl#NCI_C12270,Body_of_the_Pancreas
48,http://human.owl#NCI_C12271,Tail_of_the_Pancreas
49,http://human.owl#NCI_C12272,Pancreatic_Duct
50,http://human.owl#NCI_C12273,Other_Specified_Parts_of_Pancreas
51,http://human.owl#NCI_C12274,Middle_Ear
52,http://human.owl#NCI_C12275,Maxillary_Sinus
53,http://human.owl#NCI_C12276,Ethmoid_Sinus
54,http://human.owl#NCI_C12277,Frontal_Sinus
55,http://human.owl#NCI_C12278,Sphenoid_Sinus
56,http://human.owl#NCI_C12279,Supraglottis
57,http://human.owl#NCI_C12280,Subglottis
58,http://human.owl#NCI_C12281,Laryngeal_Cartilage
59,http://human.owl#NCI_C12284,Main_Bronchus
60,http://human.owl#NCI_C12285,Lung_Upper_Lobe
61,http://human.owl#NCI_C12286,Middle_Lobe_of_the_Right_Lung
62,http://human.owl#NCI_C12287,Lung_Lower_Lobe
63,http://human.owl#NCI_C12290,Mandible
64,http://human.owl#NCI_C12291,Skin_of_the_Lip
65,http://human.owl#NCI_C12292,External_Ear
66,http://human.owl#NCI_C12293,Skin_of_Other_and_Unspecified_Parts_of_Face
67,http://human.owl#NCI_C12294,Skin_of_the_Scalp_and_Neck
68,http://human.owl#NCI_C12295,Skin_of_the_Trunk
69,http://human.owl#NCI_C12296,Skin_of_the_Upper_Limb_and_Shoulder
70,http://human.owl#NCI_C12297,Skin_of_the_Lower_Limb_and_Hip
71,http://human.owl#NCI_C12298,Retroperitoneum
72,http://human.owl#NCI_C12299,Nipple
73,http://human.owl#NCI_C12300,Central_Portion_of_the_Breast
74,http://human.owl#NCI_C12301,Upper-inner_Quadrant_of_the_Breast
75,http://human.owl#NCI_C12302,Lower-inner_Quadrant_of_the_Breast
76,http://human.owl#NCI_C12303,Upper-outer_Quadrant_of_the_Breast
77,http://human.owl#NCI_C12304,Lower-outer_Quadrant_of_the_Breast
78,http://human.owl#NCI_C12305,Axillary_Tail_of_the_Breast
79,http://human.owl#NCI_C12306,Labium_Majus
80,http://human.owl#NCI_C12307,Labium_Minus
81,http://human.owl#NCI_C12308,Clitoris
82,http://human.owl#NCI_C12309,Endocervix
83,http://human.owl#NCI_C12310,Ectocervix
84,http://human.owl#NCI_C12311,Cervix
85,http://human.owl#NCI_C12312,Isthmus_Uteri
86,http://human.owl#NCI_C12313,Endometrium
87,http://human.owl#NCI_C12314,Myometrium
