A	2
58	2
-	2
year	2
-	2
old	2
African	2
-	2
American	2
woman	2
presents	2
to	2
the	2
ER	2
with	2
e	2
pressing	2
/	2
burning	2
anterior	2
chest	2
pain	2
that	2
began	2
two	2
days	2
earlier	2
for	2
the	2
first	2
time	2
in	2
her	2
life	2
.	2
The	2
pain	2
started	2
while	2
she	2
was	2
walking	2
,	2
r	2
to	2
the	2
back	2
,	2
and	2
is	2
accompanied	2
by	2
nausea	2
,	2
di	2
and	2
mild	2
d	2
,	2
but	2
is	2
not	2
increased	2
on	2
inspiration	2
.	2
The	2
latest	2
episode	2
of	2
pain	2
ended	2
half	2
an	2
hour	2
prior	2
to	2
her	2
arrival	2
.	2
She	2
is	2
known	2
to	2
have	2
h	2
and	2
o	2
.	2
She	2
denies	2
smoking	2
,	2
diabetes	2
,	2
h	2
,	2
or	2
a	2
family	2
history	2
of	2
heart	2
disease	2
.	2
She	2
currently	2
takes	2
no	2
medications	2
.	2
Physical	2
examination	2
is	2
normal	2
.	2
The	2
E	2
shows	2
non	2
changes	2
.	2
